Date,Category,Note,Amount,Income/Expense,Amount.1
2022-01-14,Other,From gowdham,340.0,Income,340.0
2022-01-14,Food,Lunch pongal,1530.0,Expense,1530.0
2022-01-13,Food,Dinner,66.0,Expense,66.0
2022-01-13,Other,From dad,1000.0,Income,1000.0
2022-01-13,Transportation,Rapido to pg,43.0,Expense,43.0
2022-01-12,Other,Recharge by gowdham,479.0,Expense,479.0
2022-01-12,Food,Pizza,301.75,Expense,301.75
2022-01-12,Other,From kumara,200.0,Income,200.0
2022-01-11,Food,Lunch with not preethi,135.5,Expense,135.5
2022-01-10,Food,Friday snacks with preethi gang,106.0,Expense,106.0
2022-01-08,Other,From gowdham,260.0,Income,260.0
2022-01-08,Food,Lunch with gowdham,535.3,Expense,535.3
2022-01-08,Household,Rent,4580.0,Expense,4580.0
2022-01-07,Food,Coffee + biscuit,15.0,Expense,15.0
2022-01-06,Other,From barath and shakur,440.0,Income,440.0
2022-01-06,Food,Ketch up,20.0,Expense,20.0
2022-01-06,Food,Dinner with roommate,877.81,Expense,877.81
2022-01-06,Food,Bingo,10.0,Expense,10.0
2022-01-06,Transportation,Rapido to pg,42.0,Expense,42.0
2022-01-05,Food,McDonald's with company,211.0,Expense,211.0
2022-01-05,Other,Lended money returned to vishnu,40.0,Expense,40.0
2022-01-05,Other,Lended money returned to kumara,30.0,Expense,30.0
2022-01-05,Food,Jan 2nd with shakur and barath,354.0,Expense,354.0
2022-01-05,Other,To gobi 1st 1/4th,500.0,Expense,500.0
2022-01-05,Other,To abijith and to vicky lend money returned,500.0,Expense,500.0
2022-01-05,Transportation,Refund for bus ticket,60.0,Expense,60.0
2022-01-05,Food,Lunch with company,388.0,Expense,388.0
2022-01-04,Education,Arrear and reval fee,1400.0,Expense,1400.0
2022-01-04,Salary,Salary,8000.0,Income,8000.0
2022-01-04,Food,Lunch with company,106.0,Expense,106.0
2022-01-04,Other,To vicky,80.0,Expense,80.0
2022-01-04,Food,Sent to preethi,107.0,Expense,107.0
2022-01-03,Food,Dairy milk,10.0,Expense,10.0
2022-01-03,Other,From barath,201.0,Income,201.0
2022-01-03,Other,From gpay,5.0,Income,5.0
2022-01-03,Other,From shakur,140.0,Income,140.0
2022-01-03,Food,Lunch unlimited nv,300.0,Expense,300.0
2022-01-03,Other,From abi,300.0,Income,300.0
2022-01-02,Other,Tablet to gowdham,8.0,Expense,8.0
2022-01-02,Food,Dinner with barath,200.0,Expense,200.0
2022-01-02,Transportation,Train to vnr,725.0,Expense,725.0
2022-01-01,Food,Snacks,85.0,Expense,85.0
2022-01-01,Allowance,From dad,1000.0,Income,1000.0
2021-12-30,Food,To barath,20.0,Expense,20.0
2021-12-30,Transportation,Pg to office,43.0,Expense,43.0
2021-12-30,Other,From kumara,30.0,Income,30.0
2021-12-30,Food,Horlicks + kolakattai,25.0,Expense,25.0
2021-12-30,Transportation,Bommasandra to pg,199.0,Expense,199.0
2021-12-30,Other,From Deepak,250.0,Income,250.0
2021-12-30,Food,Water,20.0,Expense,20.0
2021-12-30,Other,From abi,20.0,Income,20.0
2021-12-30,Transportation,Rapido + toll,286.0,Expense,286.0
2021-12-30,Other,From Deepak,250.0,Income,250.0
2021-12-28,Food,Coffee and thattai,14.0,Expense,14.0
2021-12-27,Food,Lunch with barath,115.0,Expense,115.0
2021-12-27,Other,From vicky,80.0,Income,80.0
2021-12-27,Other,From ganesan,40.0,Income,40.0
2021-12-27,Food,Coconut water with stu,50.0,Expense,50.0
2021-12-25,Food,Dinner with barath,504.0,Expense,504.0
2021-12-25,Transportation,Cab,306.0,Expense,306.0
2021-12-25,Self-development,Books,400.0,Expense,400.0
2021-12-25,Food,Corn,30.0,Expense,30.0
2021-12-25,Food,Water,30.0,Expense,30.0
2021-12-25,Food,Milk with bharath,40.0,Expense,40.0
2021-12-24,Social Life,Beer,150.0,Expense,150.0
2021-12-24,Food,Lunch with company,262.0,Expense,262.0
2021-12-23,Food,Lemon tea with company,15.0,Expense,15.0
2021-12-23,Food,Puffs and coffee,32.0,Expense,32.0
2021-12-21,Food,Dinner with barath,239.0,Expense,239.0
2021-12-21,Food,Puffs,25.0,Expense,25.0
2021-12-21,Food,Bun,18.0,Expense,18.0
2021-12-20,Food,Milk with bharath,80.0,Expense,80.0
2021-12-20,Transportation,Taxi,80.0,Expense,80.0
2021-12-20,Food,Snacks,20.0,Expense,20.0
2021-12-20,Food,Water,20.0,Expense,20.0
2021-12-20,Food,Lunch with barath,85.0,Expense,85.0
2021-12-20,Food,Milk with bharath,40.0,Expense,40.0
2021-12-19,Other,To siva,100.0,Expense,100.0
2021-12-18,Other,To kumara,100.0,Expense,100.0
2021-12-18,Other,To abijith,200.0,Expense,200.0
2021-12-18,Food,To rahul,113.0,Expense,113.0
2021-12-18,Allowance,From dad,1000.0,Income,1000.0
2021-12-18,Other,Lended money,400.0,Income,400.0
2021-12-18,Social Life,Spiderman ,363.72,Expense,363.72
2021-12-18,Food,Lunch,160.0,Expense,160.0
2021-12-17,Food,Milk with bharath,70.0,Expense,70.0
2021-12-17,Food,Lunch with company,110.0,Expense,110.0
