Date,Account,Category,Note,Income/Expense,Amount
2022-01-18,CUB - online payment,Food,Dinner,Expense,301.15
2022-01-18,CUB - online payment,Food,Snack with preethi,Expense,59.0
2022-01-18,CUB - online payment,Food,Lunch with company,Expense,148.0
2022-01-18,CUB - online payment,Other,To kumara,Expense,200.0
2022-01-18,CUB - online payment,Other,From dad,Income,1000.0
2022-01-17,CUB - online payment,Food,Eve snack,Expense,100.0
2022-01-15,CUB - online payment,Transportation,Bus to Bangalore,Expense,1365.0
2022-01-15,CUB - online payment,Other,From dad,Income,1500.0
2022-01-15,CUB - online payment,Food,Snacks,Expense,70.0
2022-01-14,CUB - online payment,Other,Kumara,Income,170.0
2022-01-14,CUB - online payment,Other,Siva + 100 cash,Income,70.0
2022-01-14,CUB - online payment,Other,Gundan + prasanna,Income,340.0
2022-01-14,CUB - online payment,Other,Dinesh and maddy + 100 cash,Income,240.0
2022-01-14,CUB - online payment,Other,From gowdham,Income,340.0
2022-01-14,CUB - online payment,Food,Lunch pongal,Expense,1530.0
2022-01-13,CUB - online payment,Food,Dinner,Expense,66.0
2022-01-13,CUB - online payment,Other,From dad,Income,1000.0
2022-01-13,CUB - online payment,Transportation,Rapido to pg,Expense,43.0
2022-01-12,CUB - online payment,Other,Recharge by gowdham,Expense,479.0
2022-01-12,CUB - online payment,Food,Pizza,Expense,301.75
2022-01-12,CUB - online payment,Other,From kumara,Income,200.0
2022-01-11,CUB - online payment,Food,Lunch with not preethi,Expense,135.5
2022-01-10,CUB - online payment,Food,Friday snacks with preethi gang,Expense,106.0
2022-01-08,CUB - online payment,Other,From gowdham,Income,260.0
2022-01-08,CUB - online payment,Food,Lunch with gowdham,Expense,535.3
2022-01-08,CUB - online payment,Household,Rent,Expense,4580.0
2022-01-07,CUB - online payment,Food,Coffee + biscuit,Expense,15.0
2022-01-06,CUB - online payment,Other,From barath and shakur,Income,440.0
2022-01-06,CUB - online payment,Food,Ketch up,Expense,20.0
2022-01-06,CUB - online payment,Food,Dinner with roommate,Expense,877.81
2022-01-06,CUB - online payment,Food,Bingo,Expense,10.0
2022-01-06,CUB - online payment,Transportation,Rapido to pg,Expense,42.0
2022-01-05,CUB - online payment,Food,McDonald's with company,Expense,211.0
2022-01-05,CUB - online payment,Other,Lended money returned to vishnu,Expense,40.0
2022-01-05,CUB - online payment,Other,Lended money returned to kumara,Expense,30.0
2022-01-05,CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354.0
2022-01-05,CUB - online payment,Other,To gobi 1st 1/4th,Expense,500.0
2022-01-05,CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500.0
2022-01-05,CUB - online payment,Transportation,Refund for bus ticket,Expense,60.0
2022-01-05,CUB - online payment,Food,Lunch with company,Expense,388.0
2022-01-04,CUB - online payment,Education,Arrear and reval fee,Expense,1400.0
2022-01-04,CUB - online payment,Salary,Salary,Income,8000.0
2022-01-04,CUB - online payment,Food,Lunch with company,Expense,106.0
2022-01-04,CUB - online payment,Other,To vicky,Expense,80.0
2022-01-04,CUB - online payment,Food,Sent to preethi,Expense,107.0
2022-01-03,CUB - online payment,Food,Dairy milk,Expense,10.0
2022-01-03,CUB - online payment,Other,From barath,Income,201.0
2022-01-03,CUB - online payment,Other,From gpay,Income,5.0
2022-01-03,CUB - online payment,Other,From shakur,Income,140.0
2022-01-03,CUB - online payment,Food,Lunch unlimited nv,Expense,300.0
2022-01-03,CUB - online payment,Other,From abi,Income,300.0
2022-01-02,CUB - online payment,Other,Tablet to gowdham,Expense,8.0
2022-01-02,CUB - online payment,Food,Dinner with barath,Expense,200.0
2022-01-02,CUB - online payment,Transportation,Train to vnr,Expense,725.0
2022-01-01,CUB - online payment,Food,Snacks,Expense,85.0
2022-01-01,CUB - online payment,Allowance,From dad,Income,1000.0
2021-12-30,CUB - online payment,Food,To barath,Expense,20.0
2021-12-30,CUB - online payment,Transportation,Pg to office,Expense,43.0
2021-12-30,CUB - online payment,Other,From kumara,Income,30.0
2021-12-30,CUB - online payment,Food,Horlicks + kolakattai,Expense,25.0
2021-12-30,CUB - online payment,Transportation,Bommasandra to pg,Expense,199.0
2021-12-30,CUB - online payment,Other,From Deepak,Income,250.0
2021-12-30,CUB - online payment,Food,Water,Expense,20.0
2021-12-30,CUB - online payment,Other,From abi,Income,20.0
2021-12-30,CUB - online payment,Transportation,Rapido + toll,Expense,286.0
2021-12-30,CUB - online payment,Other,From Deepak,Income,250.0
2021-12-28,CUB - online payment,Food,Coffee and thattai,Expense,14.0
2021-12-27,CUB - online payment,Food,Lunch with barath,Expense,115.0
2021-12-27,CUB - online payment,Other,From vicky,Income,80.0
2021-12-27,CUB - online payment,Other,From ganesan,Income,40.0
2021-12-27,CUB - online payment,Food,Coconut water with stu,Expense,50.0
2021-12-25,CUB - online payment,Food,Dinner with barath,Expense,504.0
2021-12-25,CUB - online payment,Transportation,Cab,Expense,306.0
2021-12-25,CUB - online payment,Self-development,Books,Expense,400.0
2021-12-25,CUB - online payment,Food,Corn,Expense,30.0
2021-12-25,CUB - online payment,Food,Water,Expense,30.0
2021-12-25,CUB - online payment,Food,Milk with bharath,Expense,40.0
2021-12-24,CUB - online payment,Social Life,Beer,Expense,150.0
2021-12-24,CUB - online payment,Food,Lunch with company,Expense,262.0
2021-12-23,CUB - online payment,Food,Lemon tea with company,Expense,15.0
2021-12-23,CUB - online payment,Food,Puffs and coffee,Expense,32.0
2021-12-21,CUB - online payment,Food,Dinner with barath,Expense,239.0
2021-12-21,CUB - online payment,Food,Puffs,Expense,25.0
2021-12-21,CUB - online payment,Food,Bun,Expense,18.0
2021-12-20,CUB - online payment,Food,Milk with bharath,Expense,80.0
2021-12-20,CUB - online payment,Transportation,Taxi,Expense,80.0
2021-12-20,CUB - online payment,Food,Snacks,Expense,20.0
2021-12-20,CUB - online payment,Food,Water,Expense,20.0
2021-12-20,CUB - online payment,Food,Lunch with barath,Expense,85.0
2021-12-20,CUB - online payment,Food,Milk with bharath,Expense,40.0
2021-12-19,CUB - online payment,Other,To siva,Expense,100.0
2021-12-18,CUB - online payment,Other,To kumara,Expense,100.0
2021-12-18,CUB - online payment,Other,To abijith,Expense,200.0
2021-12-18,CUB - online payment,Food,To rahul,Expense,113.0
2021-12-18,CUB - online payment,Allowance,From dad,Income,1000.0
2021-12-18,CUB - online payment,Other,Lended money,Income,400.0
2021-12-18,CUB - online payment,Social Life,Spiderman ,Expense,363.72
2021-12-18,CUB - online payment,Food,Lunch,Expense,160.0
2021-12-17,CUB - online payment,Food,Milk with bharath,Expense,70.0
2021-12-17,CUB - online payment,Food,Lunch with company,Expense,110.0
