month,expenses,income,net_profit
2021-11,3620.4,4003.0,382.5999999999999
2021-12,15228.72,12310.0,-2918.7199999999993
2022-01,20679.51,19641.0,-1038.5099999999984
2022-02,17864.65,18200.0,335.34999999999854
2022-03,525.0,600.0,75.0
